gene,logFC,logCPM,LR,PValue,FDR
ENSG00000198976.1,3.568679024,-4.901979071,5.111096438,0.023773292,0.995853392
ENSG00000260179.1,1.03302619,-3.071356918,4.482163736,0.034250333,0.995853392
ENSG00000223663.2,4.642947671,-4.511039349,6.788286834,0.009175792,0.995853392
ENSG00000237402.1,3.189401151,-4.995858278,3.920477045,0.047701343,0.995853392
ENSG00000271989.1,3.189414167,-4.995856748,3.920502131,0.047700631,0.995853392
ENSG00000215785.2,3.857035712,-4.815353952,6.042358485,0.013966614,0.995853392
ENSG00000226849.1,4.3097294,-4.654964101,7.865939387,0.005037465,0.995853392
ENSG00000120952.4,3.182540106,-4.996668745,3.907242918,0.048078411,0.995853392
ENSG00000204478.11,3.182540106,-4.996668745,3.907242918,0.048078411,0.995853392
ENSG00000272510.1,3.862949062,-4.814556285,6.588710721,0.010262747,0.995853392
ENSG00000215695.2,3.185981268,-4.996262027,3.913875394,0.047889046,0.995853392
ENSG00000226029.1,0.584983801,-1.5033648,3.878939468,0.048895434,0.995853392
ENSG00000227066.2,3.192864818,-4.99544985,3.927173294,0.047511742,0.995853392
ENSG00000261025.1,3.56546843,-4.902378554,5.103110872,0.023882974,0.995853392
ENSG00000233427.1,3.182540106,-4.996668745,3.907242918,0.048078411,0.995853392
ENSG00000269967.1,3.18596827,-4.996263556,3.913850381,0.047889759,0.995853392
ENSG00000227409.1,2.811259402,-4.444300888,6.221036706,0.012624117,0.995853392
ENSG00000217897.2,2.248339295,-4.654818848,3.881437883,0.048822727,0.995853392
ENSG00000291157.1,1.175797507,-3.145223423,4.645183819,0.031140802,0.995853392
ENSG00000197273.4,1.708803559,-3.65146952,4.888612535,0.027034404,0.995853392
ENSG00000229431.1,1.299286884,-3.096974683,4.305443291,0.037990593,0.995853392
ENSG00000234315.1,3.562212242,-4.902784028,5.095024015,0.023994582,0.995853392
ENSG00000242267.7,3.189427184,-4.995855218,3.920527218,0.047699919,0.995853392
ENSG00000225671.2,3.192851783,-4.995451381,3.927148135,0.047512453,0.995853392
ENSG00000177414.14,3.568679024,-4.901979071,5.111096438,0.023773292,0.995853392
ENSG00000235055.3,3.189427184,-4.995855218,3.920527218,0.047699919,0.995853392
ENSG00000286863.2,1.210679546,-3.410387857,4.33456074,0.037346051,0.995853392
ENSG00000057468.7,1.576690437,-3.577250585,6.615537601,0.010109282,0.995853392
ENSG00000234099.1,3.555759477,-4.903588641,5.079032994,0.024216873,0.995853392
ENSG00000228086.1,3.189414167,-4.995856748,3.920502131,0.047700631,0.995853392
ENSG00000232971.2,3.568703598,-4.901976031,5.111157441,0.023772456,0.995853392
ENSG00000235933.2,3.18596827,-4.996263556,3.913850381,0.047889759,0.995853392
ENSG00000264419.1,3.558984105,-4.903186378,5.087018356,0.024105603,0.995853392
ENSG00000116824.5,3.18596827,-4.996263556,3.913850381,0.047889759,0.995853392
ENSG00000187481.2,3.182540106,-4.996668745,3.907242918,0.048078411,0.995853392
ENSG00000274642.1,2.462421965,-4.579680016,4.520656202,0.033487985,0.995853392
ENSG00000230186.3,3.189414167,-4.995856748,3.920502131,0.047700631,0.995853392
ENSG00000290121.1,1.914691345,-4.145291379,6.054323157,0.013872292,0.995853392
ENSG00000168509.20,3.568715885,-4.901974511,5.111187943,0.023772038,0.995853392
ENSG00000236806.1,3.568679024,-4.901979071,5.111096438,0.023773292,0.995853392
ENSG00000234283.1,3.562224502,-4.902782509,5.095054362,0.023994162,0.995853392
ENSG00000250734.2,3.558996351,-4.903184859,5.087048625,0.024105182,0.995853392
ENSG00000143627.19,2.469965906,-4.580958205,4.55882723,0.032749492,0.995853392
ENSG00000189030.10,3.189401151,-4.995858278,3.920477045,0.047701343,0.995853392
ENSG00000237409.2,3.18596827,-4.996263556,3.913850381,0.047889759,0.995853392
ENSG00000228863.8,3.185981268,-4.996262027,3.913875394,0.047889046,0.995853392
ENSG00000283360.1,2.459463953,-4.578125273,5.239969853,0.022073656,0.995853392
ENSG00000143167.12,2.805925462,-4.443913865,7.602525435,0.00582866,0.995853392
ENSG00000273160.1,3.185981268,-4.996262027,3.913875394,0.047889046,0.995853392
ENSG00000235303.1,3.558996351,-4.903184859,5.087048625,0.024105182,0.995853392
ENSG00000200674.1,2.459511387,-4.580072794,5.243263799,0.022031903,0.995853392
ENSG00000227373.6,1.032702712,-2.675142767,6.452540772,0.011079379,0.995853392
ENSG00000162779.22,1.253539638,-3.617459297,4.703251611,0.030105609,0.995853392
ENSG00000232792.2,3.192864818,-4.99544985,3.927173294,0.047511742,0.995853392
ENSG00000227240.2,3.860528283,-4.814957423,6.02834486,0.014077928,0.995853392
ENSG00000213046.4,3.558984105,-4.903186378,5.087018356,0.024105603,0.995853392
ENSG00000233040.2,4.11351606,-4.73173335,5.851818133,0.015560966,0.995853392
ENSG00000226862.1,3.558984105,-4.903186378,5.087018356,0.024105603,0.995853392
ENSG00000236889.1,3.185981268,-4.996262027,3.913875394,0.047889046,0.995853392
ENSG00000174059.17,2.196484973,-4.318402143,4.364736582,0.036690155,0.995853392
ENSG00000286198.3,2.633765272,-4.50779123,5.575002947,0.018218634,0.995853392
ENSG00000234233.1,3.562224502,-4.902782509,5.095054362,0.023994162,0.995853392
ENSG00000229983.1,3.192838749,-4.995452911,3.927122975,0.047513164,0.995853392
ENSG00000281664.1,4.10910077,-4.731737848,8.124385182,0.004367379,0.995853392
ENSG00000250536.1,2.223787598,-3.993540368,5.464979792,0.019401278,0.995853392
ENSG00000286421.1,3.558984105,-4.903186378,5.087018356,0.024105603,0.995853392
ENSG00000236358.1,3.182540106,-4.996668745,3.907242918,0.048078411,0.995853392
ENSG00000279261.2,3.192838749,-4.995452911,3.927122975,0.047513164,0.995853392
ENSG00000173728.11,3.18596827,-4.996263556,3.913850381,0.047889759,0.995853392
ENSG00000282317.1,3.861456416,-4.814954405,6.963283482,0.008319921,0.995853392
ENSG00000197617.9,3.562212242,-4.902784028,5.095024015,0.023994582,0.995853392
ENSG00000202079.1,1.0850446,-3.475834065,4.007878396,0.045288105,0.995853392
ENSG00000172554.12,4.664796309,-4.509482722,12.74735678,0.000356513,0.995853392
